STORE_NBR,FS_AREA_NBR,FS_REGION_NBR,FS_DISTRICT_NBR,RX_AREA_NBR,RX_REGION_NBR,RX_DISTRICT_NBR,STATE_CD,FS_OPENED_DT,FS_CLOSE_DT,RX_OPENED_DT,RX_CLOSE_DT,RX_IND,FS_MAJOR_REGION,RX_MAJOR_REGION,FS_STORE_MANAGER,RX_STORE_MANAGER,FS_DIV_MANAGER,FS_REGION_MANAGER,FS_DISTRICT_MANAGER,RX_DIV_MANAGER,RX_REGION_MANAGER,RX_DISTRICT_MANAGER
28475,70,0,0,0,0,0,OH,2/1/2026,,,,N,,,Store Store,,,,,,,
28473,70,0,0,0,0,0,OH,2/1/2026,,,,N,,,Store Store,,,,,,,
28463,70,0,0,0,0,0,OH,2/1/2026,,,,N,,,Store Store,,,,,,,
28466,70,0,0,0,0,0,OH,2/1/2026,,,,N,,,Store Store,,,,,,,
28471,70,0,0,0,0,0,OH,2/1/2026,,,,N,,,Store Store,,,,,,,
28668,70,0,0,0,0,0,SC,10/15/2025,,,,N,,,Store Store,,,,,,,
28202,70,0,0,0,0,0,TX,8/20/2025,,,,N,,,Store Store,,,,,,,
28220,70,0,0,0,0,0,TX,8/20/2025,,,,N,,,Store Store,,,,,,,
28173,70,0,0,0,0,0,TX,8/20/2025,,,,N,,,Store Store,,,,,,,
28154,70,0,0,0,0,0,TX,8/20/2025,,,,N,,,Store Store,,,,,,,
28155,70,0,0,0,0,0,TX,8/20/2025,,,,N,,,Store Store,,,,,,,
28206,70,0,0,0,0,0,TX,8/20/2025,,,,N,,,Store Store,,,,,,,
28190,70,0,0,0,0,0,TX,8/20/2025,,,,N,,,Store Store,,,,,,,
28223,70,0,0,0,0,0,TX,8/20/2025,,,,N,,,Store Store,,,,,,,
28166,70,0,0,0,0,0,TX,8/20/2025,,,,N,,,Store Store,,,,,,,
28226,70,0,0,0,0,0,TX,8/20/2025,,,,N,,,Store Store,,,,,,,
28203,70,0,0,0,0,0,TX,8/20/2025,,,,N,,,Store Store,,,,,,,
28210,70,0,0,0,0,0,TX,8/20/2025,,,,N,,,Store Store,,,,,,,
28236,70,0,0,0,0,0,TX,8/20/2025,,,,N,,,Store Store,,,,,,,
28160,70,0,0,0,0,0,TX,8/20/2025,,,,N,,,Store Store,,,,,,,
28234,70,0,0,0,0,0,TX,8/20/2025,,,,N,,,Store Store,,,,,,,
28193,70,0,0,0,0,0,TX,8/20/2025,,,,N,,,Store Store,,,,,,,
28709,70,0,0,0,0,0,IL,8/20/2025,,,,N,,,Store Store,,,,,,,
28216,70,0,0,0,0,0,TX,8/20/2025,,,,N,,,Store Store,,,,,,,
28205,70,0,0,0,0,0,TX,8/20/2025,,,,N,,,Store Store,,,,,,,
28228,70,0,0,0,0,0,TX,8/20/2025,,,,N,,,Store Store,,,,,,,
28196,70,0,0,0,0,0,TX,8/20/2025,,,,N,,,Store Store,,,,,,,
28165,70,0,0,0,0,0,TX,8/20/2025,,,,N,,,Store Store,,,,,,,
28230,70,0,0,0,0,0,TX,8/20/2025,,,,N,,,Store Store,,,,,,,
28159,70,0,0,0,0,0,TX,8/20/2025,,,,N,,,Store Store,,,,,,,
28188,70,0,0,0,0,0,TX,8/20/2025,,,,N,,,Store Store,,,,,,,
28617,70,0,0,0,0,0,NJ,7/16/2025,,,,N,,,Store Store,,,,,,,
28626,70,0,0,0,0,0,NJ,7/16/2025,,,,N,,,Store Store,,,,,,,
28607,70,0,0,0,0,0,NJ,7/16/2025,,,,N,,,Store Store,,,,,,,
28608,70,0,0,0,0,0,NJ,7/16/2025,,,,N,,,Store Store,,,,,,,
28602,70,0,0,0,0,0,NJ,7/16/2025,,,,N,,,Store Store,,,,,,,
28619,70,0,0,0,0,0,NJ,7/16/2025,,,,N,,,Store Store,,,,,,,
28624,70,0,0,0,0,0,NJ,7/16/2025,,,,N,,,Store Store,,,,,,,
28192,70,0,0,0,0,0,TX,6/4/2025,,,,N,,,Store Store,,,,,,,
